trial,timestamp,lookback,horizon,stride,epochs,lr,hidden,n_layers,dropout,batch_size,weight_decay,entropy_bonus,early_stop_patience,seed,n_windows,n_holdout_windows,holdout_start,total_return,ann_return,ann_volatility,sharpe,sortino,calmar,max_drawdown,final_nav_eur,nav_growth_eur,median_sharpe,median_return,median_max_dd,sharpe_ci_low,sharpe_ci_high,psr,psr_vs_sharpe_1,holdout_sharpe,holdout_total_return,holdout_ann_return,holdout_max_drawdown,holdout_final_nav_eur,holdout_median_sharpe,holdout_median_return,holdout_sharpe_ci_low,holdout_sharpe_ci_high,holdout_psr,holdout_psr_vs_sharpe_1,won,won_vs_benchmarks,won_vs_all,max_competitor_sharpe,max_competitor_nav,objective,train_time_s,backtest_time_s
11,2026-06-21 21:10:18.312727,60,63,10,80,0.002371707297862876,256,1,0.1,64,2.145584375101421e-05,0.05,10,3561,5,3,2020-01-01,1.2108685848770078,0.17225513736115516,0.1395401487989185,1.2090948442020775,1.6139523928677513,1.0778867434033255,-0.1598081973039912,19413.33840115642,19213.1175239567,1.5012566259840325,0.24420100794805277,-0.12114858921159954,0.3390104789073767,2.0833094856704486,0.9961561838634405,0.6775850906635373,0.5130616879888795,0.2988128028195367,0.09106055147731817,-0.2535344483291595,32674.193621589347,1.1086226297552702,0.165339911291972,-0.5374163482690576,1.558913833506613,0.8117771792536972,0.2006139365347993,True,True,True,1.158733317495979,17948.501076998135,19413.33840115642,4.272711277008057,0.25227832794189453
12,2026-06-21 21:10:28.307604,60,252,10,70,0.0019147935411376025,256,2,0.2,64,6.546041556623536e-06,0.03,10,9162,5,3,2020-01-01,1.4617171979185453,0.1977661407394653,0.1666361551016068,1.166656473094293,1.662882564302693,1.0847340259979057,-0.18231763363146047,21072.91254092186,20869.39971835151,1.306291287774614,0.22792805868483246,-0.09869570270860883,0.3916793665291463,1.9313294207398406,0.9950704114709527,0.6438080484517458,0.4604287277967566,0.31247085339317904,0.09487168026928416,-0.32059361762362937,34940.56271772186,1.0042986703863703,0.22837993705042514,-0.5418779290484763,1.4742963998322591,0.7865973714033394,0.17585816259133313,True,True,True,1.158733317495979,17948.501076998135,21072.91254092186,8.093398809432983,0.2600388526916504
13,2026-06-21 21:10:36.572930,60,252,10,70,0.0019282715573953196,256,2,0.15000000000000002,64,7.3512415067356045e-06,0.02,10,9982,5,3,2020-01-01,1.562800966853351,0.20746050114675385,0.16491882399951965,1.2259895347266965,1.753925222856996,1.139489528743394,-0.18206442087759866,21014.843781957617,20811.493582924963,1.2742276298445756,0.22048687876946071,-0.10457390802270694,0.4387018812074254,2.024599517352978,0.9966378065553343,0.6913133214608645,0.5193966387179446,0.38031535671090055,0.11342108135839779,-0.35748496766171145,36595.85802176956,0.9528033096689482,0.2740350602082877,-0.46138874288715387,1.5503612195956,0.8146579387686366,0.20374139883220016,True,True,True,1.158733317495979,17948.501076998135,21014.843781957617,6.352223634719849,0.2579195499420166
14,2026-06-21 21:10:45.909897,60,252,10,70,0.0017543302294419079,256,1,0.2,64,9.17382678686806e-06,0.04,10,7557,5,3,2020-01-01,1.2674507316474846,0.17820434623342907,0.17946629535909372,1.0037897230926762,1.4104236611815888,0.7188198843769702,-0.2479123770871835,21025.362325748734,20821.714758433685,1.2380094286549432,0.22280549911723457,-0.12116069352063918,0.18696662238173853,1.8249684480114199,0.987045278309769,0.5033550603603584,0.4523850189882166,0.2920059816703693,0.0891512011838389,-0.32342418905327475,34423.36111483058,1.0252037463138046,0.2201719511821083,-0.5921868742232586,1.510011273044764,0.7827576357371973,0.17205907268301396,True,True,True,1.158733317495979,17948.501076998135,21025.362325748734,7.45409083366394,0.24478602409362793
15,2026-06-21 21:10:52.946594,60,252,10,60,0.003529475235058983,192,2,0.1,64,0.00012921589697268833,0.02,10,6685,5,3,2020-01-01,1.445275077025188,0.1961592936828307,0.1707004173933836,1.1350210835677919,1.6249300159391824,1.0766633522589841,-0.18219185530116,20177.952389960396,19974.603681704677,1.2199463239461228,0.20840289178354787,-0.11407830610949599,0.32476168587282156,1.9634726801701738,0.9940104250618992,0.6174977078138365,0.49766622116063086,0.3508559771525188,0.10544298889124004,-0.3685624962763956,34646.7923399202,0.9718424863948867,0.23895332743078002,-0.48201102052878164,1.524519262334048,0.8052835630756071,0.19250063796596917,True,True,True,1.158733317495979,17948.501076998135,20177.952389960396,4.989238023757935,0.25344395637512207
16,2026-06-21 21:10:58.494607,60,63,10,80,0.0013737911330182206,256,1,0.25,128,4.742711465424103e-06,0.04,10,2917,5,3,2020-01-01,1.0264222026028516,0.151976226089803,0.13154409695621141,1.1415957487007728,1.577797938062726,0.9424543662240812,-0.16125579289179992,18813.63260566925,18612.94558545578,1.527687501381162,0.23045486508981483,-0.06733432835640929,0.3674989087660461,1.9997304579153383,0.9941899718930245,0.6228577351005821,0.5776161198062815,0.35902726096955107,0.10766743924044286,-0.259599463725535,33147.88930931024,1.1547554563851534,0.18022917433681473,-0.41970674045061257,1.6744479109754835,0.8399677744630443,0.23358109826111279,True,True,True,1.158733317495979,17948.501076998135,18813.63260566925,3.646782159805298,0.2461860179901123
17,2026-06-21 21:11:09.161622,60,252,10,60,0.0011084650323428978,256,2,0.15000000000000002,64,7.993675423216933e-05,0.03,10,7886,5,3,2020-01-01,1.4331375833803808,0.19496757469035697,0.17246387628607568,1.1193974787818446,1.5806522083954322,0.9765347377670307,-0.19965247230853744,20090.20778550646,19886.890884019704,1.2320441784211562,0.21368564249328315,-0.11485640777934802,0.28800463601009435,1.9527370514687477,0.993376885327676,0.6041913157444062,0.5238223889214685,0.3831343233419493,0.11417853208614526,-0.3353816096848773,35277.298369505945,1.046432840996464,0.25075165700806457,-0.5149083674038292,1.5476354561503123,0.8168815311322746,0.20572010740942898,True,True,True,1.158733317495979,17948.501076998135,20090.20778550646,8.765822649002075,0.25662660598754883
18,2026-06-21 21:11:15.024440,60,252,10,20,0.00039557818341692824,256,1,0.0,64,4.464030995588813e-06,0.02,6,9483,5,3,2020-01-01,1.3161048178684362,0.18322577698378906,0.15645213805604535,1.1539315033962232,1.6537906727701053,0.9947576815290855,-0.18419136678808523,20071.661820004716,19868.261710261944,1.3225140388099323,0.2033487874724813,-0.11829081248039874,0.3625880509327336,2.007468716848196,0.9947260980483917,0.633501556609574,0.5875370271862946,0.4175240278334851,0.12333720518549218,-0.30862794121435067,36077.93888430758,1.0915528731320645,0.2715800998604261,-0.3849105472527632,1.624410381813711,0.8444178035527674,0.23854413861222828,True,True,True,1.158733317495979,17948.501076998135,20071.661820004716,3.948519468307495,0.243208646774292
19,2026-06-21 21:11:21.399548,60,63,10,60,0.0029952831147398123,192,2,0.2,64,1.5945352593391076e-05,0.04,10,5368,5,3,2020-01-01,1.01423856259141,0.15058545036123983,0.14286119878148676,1.0535792556304402,1.4266838381943414,0.7633979957705249,-0.1972568060114548,19464.353063594837,19263.486572270387,1.4690371578049262,0.2283161176046311,-0.08108750670634324,0.2652471574976228,1.888097110281534,0.9901115847946977,0.5471718728146179,0.3385263348975444,0.16790934000689206,0.053100237060946354,-0.2996172284660622,29704.456194256807,0.7622062742037886,0.10520303319293611,-0.6754179502693902,1.4134390780031207,0.7207437008186242,0.12648186662033112,True,True,True,1.158733317495979,17948.501076998135,19464.353063594837,4.441572189331055,0.2522084712982178
20,2026-06-21 21:11:27.988487,60,126,10,40,0.00047193215186146155,256,2,0.1,128,3.3444105887733178e-06,0.03,6,8559,5,3,2020-01-01,1.4164765770237944,0.19332394900301364,0.17201445370495957,1.1138181930040876,1.5949560151564155,0.9371333414656027,-0.20629289392336658,21066.04024453346,20863.328215787456,1.4807446427560433,0.25594334924426176,-0.11518483343057861,0.3224800648310348,1.9504115929928132,0.9932696772679541,0.5996882209344461,0.4637904560402131,0.31256727653043614,0.09489849188109134,-0.3298488371471886,34857.49166158,1.0461910292279055,0.2356100446598166,-0.5551538522133324,1.4991190686748352,0.7881045267837667,0.17754616587495148,True,True,True,1.158733317495979,17948.501076998135,21066.04024453346,4.604204177856445,0.25304412841796875
