trial,objective,won,won_vs_all,won_vs_benchmarks,sharpe,final_nav_eur,max_drawdown,holdout_sharpe,holdout_final_nav_eur,holdout_max_drawdown,psr,holdout_psr,timestamp
12,26662.05047038268,True,True,True,1.3688028503474177,26662.05047038268,-0.34841683334889684,0.5486333688652151,46030.55108856497,-0.45889385647091696,0.9987223294072635,0.8275321127991848,2026-06-20 15:31:35.645195
13,28148.7501312488,True,True,True,1.44761248419086,28148.7501312488,-0.3462198584913343,0.6927494576160108,55080.744574865,-0.400196196594478,0.9992764253651545,0.8830327802196971,2026-06-20 15:31:54.544463
14,22539.048020760438,False,False,True,1.2000579411189136,22539.048020760438,-0.3268362449002292,0.708600259014603,46001.688824906836,-0.3618888014801609,0.995732501132607,0.8882804384806152,2026-06-20 15:32:05.846083
15,27471.44155316383,True,True,True,1.400732988366047,27471.44155316383,-0.34626840003365134,0.7091463547459521,54527.87458445232,-0.39023022085220915,0.9989802841729485,0.8884923674356947,2026-06-20 15:32:24.345503
16,23322.919116707173,True,True,True,1.4078745655983764,23322.919116707173,-0.3254328510298481,0.5024159344474344,39397.1204099606,-0.44173975463904747,0.9989830889187155,0.8065726751067611,2026-06-20 15:32:31.499696
17,27125.666389800746,True,True,True,1.4319087190043818,27125.666389800746,-0.3455999805251285,0.6853617309815384,52598.4505963472,-0.3821220253621298,0.9991836010933629,0.8806265616337652,2026-06-20 15:42:55.975796
18,26591.283379197186,True,True,True,1.3708367303000177,26591.283379197186,-0.3463308649766097,0.6578870426916127,50513.818220997375,-0.4129340674559714,0.9986947527051301,0.8709475998816593,2026-06-20 15:43:09.693400
19,25302.707204972954,True,True,True,1.4153200545943976,25302.707204972954,-0.31807081617648925,0.5694295139677203,44843.09291168008,-0.43734762679766326,0.9991037554426369,0.8366113033346501,2026-06-20 15:43:19.585985
20,20443.152675417037,False,False,True,1.236489984960779,20443.152675417037,-0.3166821926475748,0.6267913085417307,38723.045670165135,-0.35124422115583176,0.9965764362797084,0.859287123802125,2026-06-20 15:43:33.588307
21,28422.220117067056,True,True,True,1.4393417305470848,28422.220117067056,-0.34696394851145507,0.6541332527201316,52568.81033260399,-0.42079892908109695,0.9992348707435101,0.8695840119976181,2026-06-20 15:43:48.569817
22,28565.203855675878,True,True,True,1.4669388048533298,28565.203855675878,-0.34704766422047173,0.6826664886303626,54297.043409491846,-0.41597645873662226,0.9993801332109016,0.8795349340419124,2026-06-20 15:44:03.449240
23,28099.74397134233,True,True,True,1.441638363779363,28099.74397134233,-0.34676665653904637,0.6720233524264064,53122.7353547665,-0.42189366246518767,0.9992485424977363,0.8758157580313995,2026-06-20 15:44:16.665266
24,29114.217736580544,True,True,True,1.473064894329613,29114.217736580544,-0.3455915363407017,0.7278670889319989,57341.62258666335,-0.39374679933188683,0.9994109219625401,0.8941067997120461,2026-06-20 15:44:32.112419
