variant,scenario_id,use_vix,trial_count,wins,best_trial,best_objective,best_search_sharpe,best_search_nav,best_holdout_sharpe,best_holdout_nav
VIX ON,03dba391,True,100,91,55,30145.25022815988,1.5109888653176218,30145.25022815988,0.5430596617003878,50306.608514707346
VIX OFF,891866cb,False,100,93,71,29989.03944800153,1.4818967593654826,29989.03944800153,0.4645910450231766,46795.614232593696
