trial,objective,won,won_vs_all,won_vs_benchmarks,sharpe,final_nav_eur,max_drawdown,holdout_sharpe,holdout_final_nav_eur,holdout_max_drawdown,psr,holdout_psr,timestamp
20,24849.634382377204,True,True,True,1.569693569965748,24849.634382377204,-0.35054523085486344,0.6636774704308499,47825.30078117908,-0.3911538492061585,0.9996958161278995,0.8730813800311543,2026-06-20 15:50:14.539002
21,26501.52843440297,True,True,True,1.4017264067467612,26501.52843440297,-0.3256953736611925,0.6540058306781424,50650.22219624088,-0.3964265257365611,0.9989446968857462,0.8696729321722145,2026-06-20 15:50:23.782717
22,27962.07887837071,True,True,True,1.4575812508568966,27962.07887837071,-0.3449131165086331,0.7426732639274473,56625.63316825021,-0.37014800815841653,0.9993306806417129,0.8987148944976926,2026-06-20 15:50:42.063668
23,26722.767025350822,True,True,True,1.3866947109256045,26722.767025350822,-0.33089024661715905,0.7433136763486018,55561.828606127536,-0.36321702663149136,0.9988721963663353,0.8991852648196824,2026-06-20 15:50:58.705730
24,27483.079113515516,True,True,True,1.4095586321829716,27483.079113515516,-0.349122925138861,0.6864883420272735,53332.9646516922,-0.3910019625768375,0.999042723216703,0.8808539532547178,2026-06-20 15:51:19.134336
25,28236.164397397468,True,True,True,1.4453408561034582,28236.164397397468,-0.344616803617422,0.6863211108919067,53148.43212401578,-0.371088205321068,0.9992675693407788,0.8810277522773992,2026-06-20 15:51:37.395095
26,26646.0897091491,True,True,True,1.3716641385095518,26646.0897091491,-0.3451373263420219,0.7292433164179891,53754.703067547336,-0.3743769571584814,0.9986905548101147,0.8947149694945064,2026-06-20 15:51:56.235461
27,26897.630240793085,True,True,True,1.3685416174521945,26897.630240793085,-0.3460424565420459,0.6986085972119065,51476.58254464571,-0.35645837834657235,0.9987132811767394,0.8850199055294381,2026-06-20 15:52:17.343811
28,23506.64975034926,True,True,True,1.297553158235037,23506.64975034926,-0.3062551140771159,0.7656819780079438,50418.609614785,-0.35547131741794,0.9977612911085395,0.9056702404045001,2026-06-20 15:52:35.009284
29,24577.762809707885,True,True,True,1.3942639009810764,24577.762809707885,-0.3465276993314902,0.6234355667314168,45597.73974212243,-0.3826936046912477,0.9989249085620608,0.8580819796098416,2026-06-20 15:52:43.772476
30,20306.735398911696,False,False,True,1.141345772106601,20306.735398911696,-0.3139021405243483,0.7342007723308003,43169.46937305029,-0.36407141001204746,0.9938174427203766,0.8960617148347172,2026-06-20 15:53:02.214611
31,22892.599593881663,True,True,True,1.354395340573881,22892.599593881663,-0.3288904820445937,0.7135852468491469,46659.50241797527,-0.37091798303443535,0.9984962185392294,0.8899755550646419,2026-06-20 15:53:17.197280
32,27441.917521825875,True,True,True,1.4009856351390573,27441.917521825875,-0.34899466911164423,0.7100536162668323,54750.91959265557,-0.3871240925174664,0.9989804905456902,0.8887315602242905,2026-06-20 15:53:32.989838
33,27627.641797612407,True,True,True,1.4318354287844948,27627.641797612407,-0.3469952417448724,0.6788783522350127,53290.354877705766,-0.3977956774138649,0.9991871729885478,0.8784219679567955,2026-06-20 15:53:49.863965
34,27474.905868334547,True,True,True,1.4226864571678028,27474.905868334547,-0.3465878581163737,0.7403879444899559,55867.94401228722,-0.37254212466174397,0.9991301030911863,0.8981152423928894,2026-06-20 15:54:06.860103
35,27635.156667899035,True,True,True,1.4036246809734652,27635.156667899035,-0.3459550758373734,0.6929426712999359,52643.65454174702,-0.36324301677643667,0.999001396184232,0.8831170497923279,2026-06-20 15:54:27.370079
36,28249.15520700606,True,True,True,1.4572888480574286,28249.15520700606,-0.34666835032410803,0.7159628197695487,54684.23199501841,-0.3745538977477746,0.9993321625242277,0.8906466058615845,2026-06-20 15:54:45.210415
37,28693.377141046647,True,True,True,1.465403947456446,28693.377141046647,-0.3425411368200686,0.6690039831190405,53755.926303919456,-0.4010385188778346,0.9993741684485596,0.8751578739920498,2026-06-20 15:55:05.870575
38,28993.235520919963,True,True,True,1.4460973847299694,28993.235520919963,-0.34685792757319533,0.714089964143372,56048.80412161214,-0.40013790794086235,0.9992753446072945,0.8901718063673683,2026-06-20 15:55:26.141143
39,23568.1404284396,True,True,True,1.3596707343895134,23568.1404284396,-0.3436286699973704,0.6518930255325475,45208.74726437859,-0.38625304728706256,0.998549131384824,0.8687377216025391,2026-06-20 15:55:36.411797
40,26634.451399474074,True,True,True,1.3849843939829722,26634.451399474074,-0.34799501195141913,0.6381177176299149,49592.31104242519,-0.41979322548260267,0.998872969097064,0.8641395565935728,2026-06-20 15:55:54.115590
41,27421.426282388296,True,True,True,1.4221617498667758,27421.426282388296,-0.3480228507395692,0.7092085738051846,53405.339227096665,-0.3953013243225997,0.9991353429971958,0.8885859776661806,2026-06-20 15:56:15.130812
42,28835.16635616403,True,True,True,1.4541928094162029,28835.16635616403,-0.3459313951545303,0.756976356245022,57813.74755983837,-0.3848461037774865,0.9993179977794814,0.9031525158362519,2026-06-20 15:56:33.279352
43,29163.345500338157,True,True,True,1.478194958920131,29163.345500338157,-0.34536090111623385,0.7020254212570517,55923.254937817095,-0.3853632827327744,0.9994321007388468,0.886444762951907,2026-06-20 15:56:52.790333
44,28523.83564287305,True,True,True,1.4361355083483418,28523.83564287305,-0.34935250528112416,0.7070527757515577,55010.262191679176,-0.3939127978114585,0.999219122844595,0.8878316836630481,2026-06-20 15:57:13.493022
45,28714.687139640737,True,True,True,1.4480227108289787,28714.687139640737,-0.3475391510673256,0.6792382410742718,53787.98106517688,-0.3866973531470026,0.9992853084806819,0.878733981166574,2026-06-20 15:57:33.896274
46,28797.237411516155,True,True,True,1.4744973954536578,28797.237411516155,-0.34826099070631733,0.677104500019324,53923.57605851853,-0.39334707073084496,0.9994156803911791,0.877809627311315,2026-06-20 15:57:52.946714
47,21112.22095990558,False,False,True,1.2506871143463636,21112.22095990558,-0.3189766101997972,0.6766153608118122,41889.230694123486,-0.35664382315237697,0.9968767101382807,0.8774053435298537,2026-06-20 15:58:02.822329
48,28854.383442862843,True,True,True,1.454128964422643,28854.383442862843,-0.34498233692155356,0.599313275226042,50316.387936303414,-0.40285894906753994,0.9993171898561763,0.8492726142809085,2026-06-20 15:58:18.761217
49,27004.06225610057,True,True,True,1.4188884049120623,27004.06225610057,-0.34836118486430956,0.6716590235330606,50711.15801881501,-0.3651014903897791,0.999121760820304,0.8758904626026418,2026-06-20 15:58:32.831610
50,29216.50125896082,True,True,True,1.4340706014044104,29216.50125896082,-0.34551437889221204,0.6907920942132852,55522.839257061016,-0.41295505942408717,0.9992100488355484,0.8825034867104927,2026-06-20 15:58:46.238622
51,23989.798810566925,True,True,True,1.3802149342204244,23989.798810566925,-0.34502467949778703,0.5742290379244966,42819.271674301526,-0.3801080494047463,0.9987384353812492,0.8385919615858737,2026-06-20 16:27:13.057713
52,27296.305205391865,True,True,True,1.419162588448555,27296.305205391865,-0.3454007966320576,0.6525635617308067,50151.26784217566,-0.37045690816209875,0.999123707236169,0.8694790243304635,2026-06-20 16:27:27.649695
53,28533.59759079107,True,True,True,1.4404776294031143,28533.59759079107,-0.3449042419410766,0.7715583680870779,57775.06674134851,-0.3734439339070693,0.9992459555462154,0.9074420278709168,2026-06-20 16:27:41.715241
54,28217.139270630396,True,True,True,1.442002117554459,28217.139270630396,-0.34342799930244916,0.5860311774355955,47861.73512872692,-0.33213181079097964,0.9992551328603023,0.8440771703711943,2026-06-20 16:27:54.911144
55,28833.57956600804,True,True,True,1.4489992497686728,28833.57956600804,-0.3457461575229043,0.7488440063690085,57194.91831703443,-0.37671594602147573,0.9992895691982041,0.9006702779713225,2026-06-20 16:28:08.755136
56,28486.351087575156,True,True,True,1.44196954618298,28486.351087575156,-0.3498853138427849,0.6273120354457533,51709.42945047538,-0.4095845079094729,0.99925160830281,0.8596266836844282,2026-06-20 16:28:22.352714
57,21782.19598193657,False,False,True,1.2861956372316525,21782.19598193657,-0.32506128960546965,0.5715180919635404,39669.115344420956,-0.38565845845019764,0.9975210079847956,0.8375780754387911,2026-06-20 16:28:31.594445
